created_at,value_ultrasonic,value_matchface,hour
2024-10-31 23:44:22,1,0,23
2024-10-31 23:44:29,1,0,23
2024-10-31 23:44:37,1,0,23
2024-10-31 23:44:44,1,0,23
2024-10-31 23:44:51,1,0,23
2024-10-31 23:45:00,1,0,23
2024-10-31 23:45:07,1,0,23
2024-10-31 23:45:14,1,0,23
2024-10-31 23:45:23,1,0,23
2024-10-31 23:45:30,1,0,23
2024-10-31 23:45:37,1,0,23
2024-10-31 23:45:45,1,0,23
2024-10-31 23:45:52,1,0,23
2024-10-31 23:45:59,1,0,23
2024-10-31 23:46:07,1,0,23
2024-10-31 23:46:14,1,0,23
2024-10-31 23:46:22,1,0,23
2024-10-31 23:46:30,1,0,23
2024-10-31 23:46:37,1,0,23
2024-10-31 23:46:44,1,0,23
2024-10-31 23:46:53,1,0,23
2024-10-31 23:47:00,1,0,23
2024-10-31 23:47:07,1,0,23
2024-10-31 23:47:15,1,0,23
2024-10-31 23:47:19,1,0,23
2024-10-31 23:47:27,1,0,23
2024-10-31 23:47:34,1,0,23
2024-11-01 01:32:09,1,0,1
2024-11-01 01:32:15,1,0,1
2024-11-01 01:32:25,1,0,1
2024-11-01 01:32:31,1,0,1
2024-11-01 01:32:37,1,0,1
2024-11-01 01:32:43,1,0,1
2024-11-01 01:32:49,1,0,1
2024-11-01 01:32:55,1,-1,1
2024-11-01 01:33:01,1,0,1
2024-11-01 01:33:11,1,0,1
2024-11-01 01:33:17,1,0,1
2024-11-01 01:33:23,1,0,1
2024-11-01 01:33:29,1,0,1
2024-11-01 01:33:35,1,0,1
2024-11-01 01:33:41,1,0,1
2024-11-01 01:33:47,1,0,1
2024-11-01 01:33:53,1,0,1
2024-11-01 01:33:59,1,0,1
2024-11-01 01:34:05,1,0,1
2024-11-01 01:34:11,1,0,1
2024-11-01 01:34:17,1,0,1
2024-11-01 01:34:23,1,0,1
2024-11-01 01:34:33,1,0,1
2024-11-01 01:34:42,1,0,1
2024-11-01 01:34:50,1,0,1
2024-11-01 01:34:59,1,-1,1
2024-11-01 01:35:05,1,0,1
2024-11-01 01:35:11,1,0,1
2024-11-01 01:35:17,1,0,1
2024-11-01 01:35:23,1,0,1
2024-11-01 01:35:29,1,0,1
2024-11-01 01:39:15,1,0,1
2024-11-01 01:39:21,1,0,1
2024-11-01 01:39:27,1,0,1
2024-11-01 01:59:27,1,0,1
2024-11-01 01:59:33,1,0,1
2024-11-01 01:59:39,1,0,1
2024-11-01 01:59:45,1,0,1
2024-11-01 01:59:51,1,0,1
2024-11-01 01:59:57,1,0,1
2024-11-01 02:00:03,1,0,2
2024-11-01 02:00:09,1,0,2
2024-11-01 02:00:15,1,-1,2
2024-11-01 02:00:21,1,0,2
2024-11-01 02:00:27,1,0,2
2024-11-01 02:00:33,1,0,2
2024-11-01 02:00:39,1,0,2
2024-11-01 02:00:45,1,0,2
2024-11-01 02:00:51,1,0,2
2024-11-01 02:00:57,1,0,2
2024-11-01 02:01:03,1,0,2
2024-11-01 02:01:09,1,0,2
2024-11-01 02:01:15,1,0,2
2024-11-01 02:01:21,1,0,2
2024-11-01 02:01:27,1,0,2
2024-11-01 02:01:33,1,0,2
2024-11-01 02:01:39,1,0,2
2024-11-01 02:01:45,1,0,2
2024-11-01 02:01:51,1,0,2
2024-11-01 02:01:57,1,0,2
2024-11-01 02:02:03,1,0,2
2024-11-01 02:02:09,1,0,2
2024-11-01 02:02:15,1,0,2
2024-11-01 02:02:21,1,0,2
2024-11-01 02:02:27,1,0,2
2024-11-01 02:02:33,1,0,2
2024-11-01 02:02:39,1,0,2
2024-11-01 02:02:45,1,0,2
2024-11-01 02:02:51,1,0,2
2024-11-01 02:02:57,1,0,2
2024-11-01 02:03:03,1,0,2
2024-11-01 02:03:09,1,0,2
2024-11-01 02:03:15,1,0,2
2024-11-01 02:03:21,1,0,2
2024-11-01 02:03:23,1,0,2
2024-11-01 02:03:27,1,0,2
2024-11-01 02:03:27,1,0,2
2024-11-01 02:03:33,1,0,2
2024-11-01 02:03:39,1,0,2
2024-11-01 02:03:45,1,0,2
2024-11-01 02:03:51,1,0,2
2024-11-01 02:03:57,1,0,2
2024-11-01 02:04:03,1,0,2
2024-11-01 02:04:09,1,0,2
2024-11-01 02:04:15,1,0,2
2024-11-01 02:04:21,1,0,2
2024-11-01 02:04:27,1,0,2
2024-11-01 02:04:33,1,0,2
2024-11-01 02:04:39,1,0,2
2024-11-01 02:04:45,1,0,2
2024-11-01 02:04:51,1,0,2
2024-11-01 02:04:57,1,0,2
2024-11-01 02:05:03,1,0,2
2024-11-01 02:05:09,1,0,2
2024-11-01 02:05:15,1,0,2
2024-11-01 02:05:21,1,0,2
2024-11-01 02:05:27,1,0,2
2024-11-01 02:05:33,1,0,2
2024-11-01 02:05:39,1,0,2
2024-11-01 02:05:45,1,0,2
2024-11-01 02:05:51,1,0,2
2024-11-01 02:05:57,1,0,2
2024-11-01 02:06:03,1,0,2
2024-11-01 02:06:09,1,0,2
2024-11-01 02:06:15,1,0,2
2024-11-01 02:06:21,1,0,2
2024-11-01 02:06:27,1,0,2
2024-11-01 02:06:33,1,-1,2
2024-11-01 02:06:39,1,0,2
2024-11-01 02:06:40,1,0,2
2024-11-01 02:06:42,1,0,2
2024-11-01 02:06:45,1,0,2
2024-11-01 02:06:51,1,0,2
2024-11-01 02:06:57,1,0,2
2024-11-01 02:07:03,1,0,2
2024-11-01 02:07:09,1,0,2
2024-11-01 02:07:15,1,0,2
2024-11-01 02:07:21,1,0,2
2024-11-01 02:07:27,1,0,2
2024-11-01 02:07:33,1,0,2
2024-11-01 02:07:39,1,0,2
2024-11-01 02:07:47,1,0,2
2024-11-01 02:07:53,1,0,2
2024-11-01 02:07:59,1,0,2
2024-11-01 02:08:06,1,0,2
2024-11-01 02:08:15,1,0,2
2024-11-01 02:08:22,1,0,2
2024-11-01 02:08:28,1,0,2
2024-11-01 02:08:34,1,0,2
2024-11-01 02:08:40,1,0,2
2024-11-01 02:08:46,1,0,2
2024-11-01 02:08:52,1,0,2
2024-11-01 02:08:58,1,0,2
2024-11-01 02:09:04,1,0,2
2024-11-01 02:09:10,1,0,2
2024-11-01 02:09:16,1,0,2
2024-11-01 02:09:22,1,0,2
2024-11-01 02:09:28,1,0,2
2024-11-01 02:09:34,1,0,2
2024-11-01 02:09:40,1,0,2
2024-11-01 02:09:46,1,0,2
2024-11-01 02:09:52,1,0,2
2024-11-01 02:09:58,1,0,2
2024-11-01 02:10:04,1,0,2
2024-11-01 02:10:10,1,0,2
2024-11-01 02:10:16,1,0,2
2024-11-01 02:10:22,1,0,2
2024-11-01 02:10:28,1,0,2
2024-11-01 02:10:34,1,0,2
2024-11-01 02:10:40,1,0,2
2024-11-01 02:10:46,1,0,2
2024-11-01 02:10:52,1,0,2
2024-11-01 02:10:58,1,0,2
2024-11-01 02:11:04,1,-1,2
2024-11-01 02:11:10,1,0,2
2024-11-01 02:11:16,1,0,2
2024-11-01 02:11:22,1,0,2
2024-11-01 02:11:28,1,0,2
2024-11-01 02:11:34,1,0,2
2024-11-01 02:11:40,1,0,2
2024-11-01 02:11:46,1,0,2
2024-11-01 02:11:52,1,0,2
2024-11-01 02:11:58,1,0,2
2024-11-01 02:12:04,1,0,2
2024-11-01 02:12:10,1,0,2
2024-11-01 02:12:16,1,0,2
2024-11-01 02:12:22,1,0,2
2024-11-01 02:12:28,1,0,2
2024-11-01 02:12:34,1,-1,2
2024-11-01 02:12:40,1,0,2
2024-11-01 02:12:46,1,0,2
2024-11-01 02:12:52,1,0,2
2024-11-01 02:12:58,1,0,2
2024-11-01 02:13:04,1,0,2
2024-11-01 02:13:10,1,0,2
2024-11-01 02:13:16,1,-1,2
2024-11-01 02:13:22,1,0,2
2024-11-01 02:13:28,1,0,2
2024-11-01 02:14:00,1,0,2
2024-11-01 02:14:03,1,0,2
2024-11-01 02:14:06,1,0,2
2024-11-01 02:14:08,1,0,2
2024-11-01 02:14:12,1,0,2
2024-11-01 02:14:16,1,0,2
2024-11-01 02:14:19,1,-1,2
2024-11-01 02:14:25,1,0,2
2024-11-01 02:14:31,1,0,2
2024-11-01 02:14:37,1,0,2
2024-11-01 02:14:43,1,0,2
2024-11-01 02:14:53,1,0,2
2024-11-01 02:14:59,1,0,2
2024-11-01 02:15:50,1,0,2
2024-11-01 02:15:56,1,0,2
2024-11-01 02:16:02,1,0,2
2024-11-01 02:16:10,1,0,2
2024-11-01 02:16:16,1,0,2
2024-11-01 02:16:22,1,0,2
2024-11-01 02:16:28,1,0,2
2024-11-01 02:16:34,1,0,2
2024-11-01 02:16:40,1,0,2
2024-11-01 02:16:46,1,0,2
2024-11-01 02:16:52,1,-1,2
2024-11-01 02:16:58,1,0,2
2024-11-01 02:19:34,1,0,2
2024-11-01 02:19:40,1,0,2
2024-11-01 02:19:48,1,0,2
2024-11-01 02:19:54,1,0,2
2024-11-01 02:20:00,1,0,2
2024-11-01 02:20:42,1,0,2
2024-11-01 02:21:03,1,0,2
2024-11-01 02:21:17,1,0,2
2024-11-01 02:21:31,1,0,2
2024-11-01 02:21:37,1,0,2
2024-11-01 02:21:43,1,0,2
2024-11-01 02:21:49,1,0,2
2024-11-01 02:21:55,1,0,2
2024-11-01 02:22:01,1,0,2
2024-11-01 02:22:07,1,0,2
2024-11-01 02:22:13,1,0,2
2024-11-01 02:22:19,1,0,2
2024-11-01 02:22:25,1,0,2
2024-11-01 02:22:31,1,0,2
2024-11-01 02:22:37,1,0,2
2024-11-01 02:22:43,1,0,2
2024-11-01 02:22:49,1,0,2
2024-11-01 02:22:55,1,0,2
2024-11-01 02:23:01,1,0,2
2024-11-01 02:23:07,1,0,2
2024-11-01 02:23:13,1,0,2
2024-11-01 02:23:19,1,0,2
2024-11-01 02:23:25,1,0,2
2024-11-01 02:23:31,1,0,2
2024-11-01 02:23:37,1,0,2
2024-11-01 02:23:43,1,0,2
2024-11-01 02:23:49,1,0,2
2024-11-01 02:23:55,1,0,2
2024-11-01 02:24:01,1,0,2
2024-11-01 02:24:07,1,0,2
2024-11-01 02:24:13,1,0,2
2024-11-01 02:24:19,1,0,2
2024-11-01 02:24:25,1,0,2
2024-11-01 02:24:31,1,0,2
